timestamp,trial_number,val_loss,model.type,model.latent_dim,model.base_filters,hyperparameters.learning_rate,hyperparameters.batch_size,hyperparameters.weight_decay,training.optimizer,training.scheduler,preprocessing.normalize,preprocessing.use_tanh_output,hyperparameters.beta,model.in_channels
20250427_030518,18,0.2301033437252044,conv_autoencoder,43,30,0.0001870674353827,8,1.0053152940539229e-06,rmsprop,cosine_annealing,False,False,,1.0
20250427_030518,19,0.1404668986797332,unet_ae,174,28,5.778195413048567e-05,8,1.7045653968715332e-05,sgd,none,False,True,,1.0
20250427_031026,0,0.3423165082931518,vae,49,17,0.0039676050770529,64,0.000314288089084,adam,cosine_annealing,False,False,0.5404103854647329,1.0
20250427_031026,1,1.5124965906143188,vae,134,34,3.585612610345396e-05,8,6.218704727769077e-05,adam,none,False,True,1.217284708112243,1.0
20250427_031026,2,0.2454728037118911,conv_autoencoder,118,18,0.0013795402040204,32,3.69997243146381e-05,adam,cosine_annealing,False,False,,1.0
20250427_031026,3,inf,resnet_ae,101,21,2.288738114460096e-05,16,0.0001285454996487,sgd,cosine_annealing,True,True,,1.0
20250427_031026,4,0.0083909481763839,conv_autoencoder,33,32,4.780654141328922e-05,32,0.0006459367085984,sgd,reduce_on_plateau,False,True,,1.0
20250427_031026,5,0.0117622390389442,conv_autoencoder,194,21,0.0013694231460024,32,0.0003529150925129,adam,reduce_on_plateau,True,True,,1.0
20250427_031026,6,0.207636147737503,unet_ae,76,20,0.0004681702225035,8,6.998769331752381e-05,adam,reduce_on_plateau,True,False,,1.0
20250427_031026,7,0.0086713982746005,mlp_autoencoder,45,33,0.0020416470207182,16,3.927027067477075e-05,rmsprop,reduce_on_plateau,True,True,,1.0
20250427_031026,8,0.2702358961105346,vae,35,52,0.0012911407200549,32,3.308305521268992e-06,rmsprop,reduce_on_plateau,True,True,0.2117721540886052,1.0
20250427_031026,9,0.1664633750915527,conv_autoencoder,34,50,7.007519651093011e-05,64,0.0001604032381607,adam,none,True,True,,1.0
20250427_031026,10,0.0342412516474723,unet_ae,265,27,0.000146384950296,32,7.009302939309281e-06,sgd,reduce_on_plateau,False,False,,1.0
20250427_031026,11,0.0086842533200979,mlp_autoencoder,57,36,0.0095407294440071,16,0.0008855046038452,rmsprop,reduce_on_plateau,False,True,,1.0
20250427_031026,12,0.0082331020385026,mlp_autoencoder,507,28,1.2844377595711352e-05,16,1.4285771830109758e-05,rmsprop,reduce_on_plateau,True,True,,1.0
